REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,12/07/2014 12:35,5427.09,29.88051,
VIC1,12/07/2014 12:40,5452.14,29.4664,
VIC1,12/07/2014 12:45,5443.57,28.01018,
VIC1,12/07/2014 12:50,5439.2,28.10445,
VIC1,12/07/2014 12:55,5463.58,29.53661,
VIC1,12/07/2014 13:00,5415.81,32.98507,
VIC1,12/07/2014 13:05,5383.49,32.39385,
VIC1,12/07/2014 13:10,5442.47,28.01018,
VIC1,12/07/2014 13:15,5479.35,28.01055,
VIC1,12/07/2014 13:20,5401.39,28.01018,
VIC1,12/07/2014 13:25,5493.08,28.01018,
VIC1,12/07/2014 13:30,5484.97,28.01018,
VIC1,12/07/2014 13:35,5470.53,29.40384,
VIC1,12/07/2014 13:40,5515.27,28.10512,
VIC1,12/07/2014 13:45,5494.51,32.51759,
VIC1,12/07/2014 13:50,5541.44,29.26382,
VIC1,12/07/2014 13:55,5551.31,28.05583,
VIC1,12/07/2014 14:00,5563.68,28.01018,
VIC1,12/07/2014 14:05,5576.36,28.01018,
VIC1,12/07/2014 14:10,5525.56,33.05652,
VIC1,12/07/2014 14:15,5525.95,28.58845,
VIC1,12/07/2014 14:20,5542.58,32.80546,
VIC1,12/07/2014 14:25,5581.32,32.12664,
VIC1,12/07/2014 14:30,5440.92,33.29539,
VIC1,12/07/2014 14:35,5529.44,32.40983,
VIC1,12/07/2014 14:40,5483.45,30.17127,
VIC1,12/07/2014 14:45,5528.34,33.05786,
VIC1,12/07/2014 14:50,5541.85,33.07184,
VIC1,12/07/2014 14:55,5555.34,33.30285,
VIC1,12/07/2014 15:00,5560.37,33.20912,
VIC1,12/07/2014 15:05,5553.69,33.33257,
VIC1,12/07/2014 15:10,5587.79,33.35605,
VIC1,12/07/2014 15:15,5611.05,33.51658,
VIC1,12/07/2014 15:20,5595.95,33.38316,
VIC1,12/07/2014 15:25,5597.63,34.92087,
VIC1,12/07/2014 15:30,5635.72,34.78476,
